loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
236,GJ 433 c,GJ 433,c,1,3,Radial Velocity,2014,0,5094.105,4.819,6.27,0.56,32.422,0.10201,Msini,0.12,,,,M1.5 V,3472,0.47,0.48,-1.699,9.06456,110.291
237,GJ 433 d,GJ 433,d,1,3,Radial Velocity,2020,0,36.059,0.178,2.14,0.191,5.223,0.01643,Msini,0.07,,,,M2V,3461,0.47,0.48,-1.475,9.06456,110.291
238,GJ 436 b,GJ 436,b,1,1,Radial Velocity,2004,0,2.64388312,0.0291,4.17,0.372,22.1,0.07,Mass,0.13827,,686,86.44,M2.5 V,3586.11,0.46,0.47,-1.585,9.75321,102.501
239,GJ 480 b,GJ 480,b,1,1,Radial Velocity,2020,0,9.567,0.068,3.69,0.33,13.2,0.04153,Msini,0.1,,,,M3.5 Ve,3381,0.46,0.45,-1.612,14.2358,70.2164
240,GJ 486 b,GJ 486,b,1,1,Radial Velocity,2021,0,1.467119,0.01734,1.305,0.116,2.82,0.00887,Mass,0.05,40.3,701,88.4,M3.5 V,3340,0.33,0.32,-1.917,8.07426,123.821
241,GJ 504 b,GJ 504,b,1,1,Imaging,2013,0,,43.5,13,1.16,1271.3,4,Mass,,,510,,G0 V,6234,1.26,1.22,0.332,17.5299,57.0186
242,GJ 536 b,GJ 536,b,1,1,Radial Velocity,2016,0,8.7076,0.06661,2.17,0.194,5.36,0.01686,Msini,0.08,,,,M1 V,3685,0.5,0.52,-1.377,10.4092,96.0398
243,GJ 581 b,GJ 581,b,1,3,Radial Velocity,2005,0,5.3686,0.04061,4.11,0.366,15.8,0.0497,Msini,0,,,,M3 V,3396,0.33,0.31,-1.885,6.2981,158.749
244,GJ 581 c,GJ 581,c,1,3,Radial Velocity,2007,0,12.914,0.0721,2.21,0.197,5.5,0.0173,Msini,0,,,,M3 V,3396,0.33,0.31,-1.885,6.2981,158.749
245,GJ 581 e,GJ 581,e,1,3,Radial Velocity,2009,0,3.149,0.02815,1.17,0.104,1.7,0.0053,Msini,0,,,,M3 V,3396,0.33,0.31,-1.885,6.2981,158.749
246,GJ 625 b,GJ 625,b,1,1,Radial Velocity,2017,0,14.628,0.078361,1.49,0.133,2.82,0.00887,Msini,0.13,,,,M2,3499,0.31,0.3,-1.894,6.47249,154.471
247,GJ 649 b,GJ 649,b,1,1,Radial Velocity,2009,0,598.3,1.135,12.5,1.11,104.244,0.328,Msini,0.3,,,,M1.5,3700,0.5,0.54,-1.365,10.3796,96.3141
248,GJ 667 C b,GJ 667 C,b,3,5,Radial Velocity,2011,0,7.2004,0.0505,2.23,0.199,5.6,0.018,Msini,0.13,,,,M1.5 V,3350,,0.33,-1.863,7.24396,138.017
249,GJ 667 C c,GJ 667 C,c,3,5,Radial Velocity,2011,0,28.14,0.125,1.77,0.158,3.8,0.012,Msini,0.02,,,,M1.5 V,3350,,0.33,-1.863,7.24396,138.017
250,GJ 667 C e,GJ 667 C,e,3,5,Radial Velocity,2013,1,62.24,0.213,1.45,0.129,2.7,0.008,Msini,0.02,,,,M1.5 V,3350,,0.33,-1.863,7.24396,138.017
251,GJ 667 C f,GJ 667 C,f,3,5,Radial Velocity,2013,1,39.026,0.156,1.45,0.129,2.7,0.008,Msini,0.03,,,,M1.5 V,3350,,0.33,-1.863,7.24396,138.017
252,GJ 667 C g,GJ 667 C,g,3,5,Radial Velocity,2013,1,256.2,0.549,1.99,0.177,4.6,0.014,Msini,0.08,,,,M1.5 V,3350,,0.33,-1.863,7.24396,138.017
253,GJ 674 b,GJ 674,b,1,1,Radial Velocity,2007,0,4.6938,0.039,3.33,0.297,11.09,0.035,Msini,0.2,,,,M2.5,3600,0.36,0.35,-1.796,4.54896,219.801
254,GJ 676 A b,GJ 676 A,b,2,4,Radial Velocity,2010,0,1056.80005,1.82,12.7,1.13,2129.461,6.7,Mass,0.33,,,45,M0 V,3734,0.69,0.73,-1.043,16.0272,62.365
255,GJ 676 A c,GJ 676 A,c,2,4,Radial Velocity,2016,0,7337,6.6,12.7,1.13,2161.244,6.8,Msini,,,,,M0,4006.03,0.65,0.63,-1.043,16.0272,62.365
256,GJ 676 A d,GJ 676 A,d,2,4,Radial Velocity,2012,0,3.6005,0.0413,1.93,0.173,4.4,0.014,Msini,0.262,,,,M0 V,4006.03,0.65,0.71,-1.043,16.0272,62.365
257,GJ 676 A e,GJ 676 A,e,2,4,Radial Velocity,2012,0,35.39,0.187,2.77,0.247,8.1,0.025,Msini,0.125,,,,M0 V,4006.03,0.65,0.71,-1.043,16.0272,62.365
258,GJ 682 b,GJ 682,b,1,2,Radial Velocity,2014,0,17.478,0.08,1.93,0.173,4.4,0.01384,Msini,0.08,,,,M3.5 V,3028,0.3,0.27,-2.699,5.00671,199.703
259,GJ 682 c,GJ 682,c,1,2,Radial Velocity,2014,0,57.32,0.176,2.89,0.258,8.7,0.02737,Msini,0.1,,,,M3.5 V,3028,0.3,0.27,-2.699,5.00671,199.703
260,GJ 685 b,GJ 685,b,1,1,Radial Velocity,2019,0,24.16,0.1344,2.95,0.263,9,0.02832,Msini,0,,,,M0.5,3816,0.54,0.55,-1.253,14.3155,69.8254
261,GJ 687 b,GJ 687,b,1,2,Radial Velocity,2014,0,38.142,0.163,4.32,0.385,17.2,0.05412,Msini,0.17,,,,M3 V,3413,0.42,0.4,-1.672,4.54939,219.781
262,GJ 687 c,GJ 687,c,1,2,Radial Velocity,2020,0,727.562,1.165,4.14,0.369,16,0.05034,Msini,0.4,,,,M3.0V,3413,0.42,0.4,-1.672,4.54939,219.781
263,GJ 720 A b,GJ 720 A,b,2,1,Radial Velocity,2021,0,19.466,0.119,3.77,0.336,13.64,0.04292,Msini,0.12,,401,,M0.5 V,3837,0.56,0.57,-1.217,15.5575,64.2488
264,GJ 740 b,GJ 740,b,1,1,Radial Velocity,2021,0,2.37756,0.029,1.53,0.137,2.96,0.00931,Msini,0.24,79,829,,M1.0 V,3913,0.56,0.58,-1.206,11.1017,90.0477
265,GJ 832 b,GJ 832,b,1,2,Radial Velocity,2008,0,3657,3.56,14,1.25,216,0.68,Msini,0.08,,,,M1.5,3472,0.44,0.45,-1.585,4.96435,201.407
266,GJ 832 c,GJ 832,c,1,2,Radial Velocity,2014,0,35.68,0.163,2.18,0.195,5.4,0.017,Msini,0.18,,,,M1.5V,3472,0.44,0.45,-1.585,4.96435,201.407
267,GJ 849 b,GJ 849,b,1,2,Radial Velocity,2006,0,1915,2.409,13.9,1.24,286.04557,0.9,Msini,0.038,,,,M3.5,3562.68,0.47,0.49,-1.583,8.80058,113.6
268,GJ 849 c,GJ 849,c,1,2,Radial Velocity,2014,0,7068,4.974,14,1.25,223.11554,0.702,Msini,0.099,,,,M3.5,3562.68,0.47,0.49,-1.583,8.80058,113.6
269,GJ 86 b,GJ 86,b,2,1,Radial Velocity,1999,0,15.76491,0.11,12.9,1.15,1404.8086,4.42,Msini,0.04,,,,K1V,5182,0.77,0.93,-0.39,10.7836,92.7042
270,GJ 876 b,GJ 876,b,1,4,Radial Velocity,1998,0,61.1166,0.208317,13.3,1.19,723.2235,2.2756,Mass,0.0324,,,59,M4 V,3293.74,0.3,0.32,-1.907,4.67517,213.867
271,GJ 876 c,GJ 876,c,1,4,Radial Velocity,2000,0,30.0881,0.12959,14,1.25,226.9846,0.7142,Mass,0.25591,,,59,M4 V,3293.74,0.3,0.32,-1.907,4.67517,213.867
